clause#;word#;passage;link;verb;stem;phr1#;phr1_txt;phr1_function;phr1_corr;phr2#;phr2_txt;phr2_function;phr2_corr;phr3#;phr3_txt;phr3_function;phr3_corr;phr4#;phr4_txt;phr4_function;phr4_corr;phr5#;phr5_txt;phr5_function;phr5_corr;phr6#;phr6_txt;phr6_function;phr6_corr;phr7#;phr7_txt;phr7_function;phr7_corr
510304;401039;1_Chronicles 18:13;link;J#M ;qal;845427;W;Conj;;845428;J#M ;Pred;;845429;B>DWM ;Cmpl;;845430;NYJBJM ;Objc;;;;;;;;;;;;;
510922;404417;1_Chronicles 26:10;link;J#JMHW ;qal;847198;W;Conj;;847199;J#JMHW ;PreO;;847200;>BJHW ;Subj;;847201;LR>#00;Cmpl;;;;;;;;;;;;;
511267;406906;2_Chronicles 1:5;link;#M ;qal;848171;W;Conj;;848172;MZBX HNX#T ;Objc;;848176;#M ;Pred;;848177;LPNJ M#KN JHWH ;Cmpl;;;;;;;;;;;;;
511614;409150;2_Chronicles 6:11;link;>#JM ;qal;849252;W;Conj;;849253;>#JM ;Pred;;849254;#M ;Cmpl;;849255;>T&H>RWN ;Objc;;;;;;;;;;;;;
511661;409392;2_Chronicles 6:20;link;#WM ;qal;849390;L#WM ;Pred;;849391;#MK ;Objc;;849392;#M ;Cmpl;;;;;;;;;;;;;;;;;
512258;412889;2_Chronicles 12:13;link;#WM ;qal;851231;L#WM ;Pred;;851232;>T&#MW ;Objc;;851233;#M ;Cmpl;;;;;;;;;;;;;;;;;
512721;415477;2_Chronicles 18:26;link;#JMW ;qal;852639;#JMW ;Pred;;852640;ZH ;Objc;;852641;BJT HKL> ;Cmpl;;;;;;;;;;;;;;;;;
513185;418020;2_Chronicles 23:15;link;J#JMW ;qal;854008;W;Conj;;854009;J#JMW ;Pred;;854010;LH ;Adju;;854011;JDJM ;Objc;;;;;;;;;;;;;
513194;418085;2_Chronicles 23:18;link;J#M ;qal;854038;W;Conj;;854039;J#M ;Pred;;854040;JHWJD< ;Objc;;854041;PQDT BJT JHWH ;Objc;;854042;BJD HKHNJM HLWJM ;Cmpl;;;;;;;;;
514168;423987;2_Chronicles 33:7;link;J#M ;qal;857030;W;Conj;;857031;J#M ;Pred;;857032;>T&PSL HSML ;Objc;;857035;BBJT H>LHJM ;Cmpl;;;;;;;;;;;;;
514171;424021;2_Chronicles 33:7;link;>#JM ;qal;857040;BBJT HZH WBJRW#LM ;Cmpl;;857044;>#JM ;Pred;;857045;>T&#MJ ;Objc;;857046;L<JLWM00;Time;;;;;;;;;;;;;
514203;424193;2_Chronicles 33:14;link;J#M ;qal;857144;W;Conj;;857145;J#M ;Pred;;857146;#RJ&XJL ;Objc;;857147;BKL&H<RJM HBYRWT BJHWDH00;Cmpl;;;;;;;;;;;;;
