clause#;word#;passage;link;verb;stem;phr1#;phr1_txt;phr1_function;phr1_corr;phr2#;phr2_txt;phr2_function;phr2_corr;phr3#;phr3_txt;phr3_function;phr3_corr;phr4#;phr4_txt;phr4_function;phr4_corr;phr5#;phr5_txt;phr5_function;phr5_corr;phr6#;phr6_txt;phr6_function;phr6_corr;phr7#;phr7_txt;phr7_function;phr7_corr
504714;368743;Esther 8:5;link;H#JB ;hif;829204;LH#JB ;Pred;;829205;>T&HSPRJM MX#BT HMN BN&HMDT> H>GGJ ;Objc;;;;;;;;;;;;;;;;;;;;;
504732;368856;Esther 8:8;link;H#JB00;hif;829261;LH#JB00;Pred;;;;;;;;;;;;;;;;;;;;;;;;;
504866;369770;Esther 9:25;link;J#WB ;qal;829661;J#WB ;Pred;;829662;MX#BTW HR<H ;Subj;;829666;<L&R>#W ;Cmpl;;;;;;;;;;;;;;;;;
506182;376047;Daniel 9:13;link;#WB ;qal;833545;L#WB ;Pred;;833546;M<WNNW ;Cmpl;;;;;;;;;;;;;;;;;;;;;
506196;376107;Daniel 9:16;link;J#B&;qal;833582;KKL&YDQTK ;Adju;;833583;J#B&;Pred;;833584;N> ;Intj;;833585;>PK WXMTK ;Subj;;833586;M<JRK JRW#LM HR&QD#K ;Cmpl;;;;;;;;;
506250;376335;Daniel 9:25;link;H#JB ;hif;833724;LH#JB ;Pred;;;;;;;;;;;;;;;;;;;;;;;;;
506252;376350;Daniel 9:25;link;T#WB ;qal;833730;W;Conj;;833731;#B<JM ##JM W#NJM ;Time;;833732;T#WB ;Pred;;;;;;;;;;;;;;;;;
506368;376871;Daniel 10:20;link;>#WB ;qal;834070;W;Conj;;834071;<TH ;Time;;834072;>#WB ;Pred;;;;;;;;;;;;;;;;;
506413;377109;Daniel 11:9;link;#B ;qal;834212;W;Conj;;834213;#B ;Pred;;834214;>L&>DMTW00;Cmpl;;;;;;;;;;;;;;;;;
506419;377128;Daniel 11:10;link;J#B ;qal;834228;W;Conj;;834229;J#B ;Pred;;;;;;;;;;;;;;;;;;;;;
506430;377171;Daniel 11:13;link;#B ;qal;834260;W;Conj;;834261;#B ;Pred;;834262;MLK HYPWN ;Subj;;;;;;;;;;;;;;;;;
506461;377311;Daniel 11:18;link;J#JB ;hif;834354;BLTJ XRPTW ;Adju;;834355;J#JB ;Pred;;834356;LW00;Adju;;;;;;;;;;;;;;;;;
506462;377314;Daniel 11:19;link;J#B ;hif;834357;W;Conj;;834358;J#B ;Pred;;834359;PNJW ;Objc;;834360;LM<WZJ >RYW ;Cmpl;;;;;;;;;;;;;
