clause#;word#;passage;link;verb;stem;phr1#;phr1_txt;phr1_function;phr1_corr;phr2#;phr2_txt;phr2_function;phr2_corr;phr3#;phr3_txt;phr3_function;phr3_corr;phr4#;phr4_txt;phr4_function;phr4_corr;phr5#;phr5_txt;phr5_function;phr5_corr;phr6#;phr6_txt;phr6_function;phr6_corr
454596;149607;1_Samuel 15:4;link;JPQDM ;qal;690331;W;Conj;;690332;JPQDM ;PreO;;690333;BVL>JM ;Loca;;;;;;;;;;;;;
454936;151131;1_Samuel 17:18;link;TPQD ;qal;691325;W;Conj;;691326;>T&>XJK ;Objc;;691327;TPQD ;Pred;;691328;L#LWM ;Cmpl;Adju;;;;;;;;
455447;153536;1_Samuel 20:6;link;* PQD ;qal;692870;>M&;Conj;;692871;PQD ;Modi;;692872;JPQDNJ ;PreO;;692873;>BJK ;Subj;;;;;;;;;
455507;153794;1_Samuel 20:18;link;NPQDT ;nif;693062;W;Conj;;693063;NPQDT ;Pred;;;;;;;;;;;;;;;;;
455508;153796;1_Samuel 20:18;link;JPQD ;nif;693064;KJ ;Conj;;693065;JPQD ;Pred;;693066;MW#BK00;Subj;;;;;;;;;;;;;
455540;153942;1_Samuel 20:25;link;JPQD ;nif;693159;W;Conj;;693160;JPQD ;Pred;;693161;MQWM DWD00;Subj;;;;;;;;;;;;;
455547;153974;1_Samuel 20:27;link;JPQD ;nif;693181;W;Conj;;693182;JPQD ;Pred;;693183;MQWM DWD S ;Subj;;;;;;;;;;;;;
456114;156620;1_Samuel 25:7;link;NPQD ;nif;694921;W;Conj;;694922;L>&;Nega;;694923;NPQD ;Pred;;694924;LHM ;Cmpl;Adju;694925;M>WMH ;Subj;;694926;KL&JMJ ;Time;
456157;156819;1_Samuel 25:15;link;PQDNW ;qal;695048;W;Conj;;695049;L>&;Nega;;695050;PQDNW ;Pred;;695051;M>WMH ;Objc;;695052;KL&JMJ ;Loca;Time;;;;
456186;156956;1_Samuel 25:21;link;NPQD ;nif;695127;W;Conj;;695128;L>&;Nega;;695129;NPQD ;Pred;;695130;MKL&;Cmpl;;695133;M>WMH ;Subj;;;;;
456663;159211;1_Samuel 29:4;link;HPQDTW ;hif;696618;>#R ;Rela;;696619;HPQDTW ;PreO;;696620;#M ;Cmpl;;;;;;;;;;;;;
457157;161625;2_Samuel 2:30;link;JPQDW ;nif;698103;W;Conj;;698104;JPQDW ;Pred;;698105;M<BDJ DWD ;Cmpl;;698106;T#<H&<#R >J# W<#H&>L00;Subj;;;;;;;;;
457191;161832;2_Samuel 3:8;link;TPQD ;qal;698214;W;Conj;;698215;TPQD ;Pred;;698216;<LJ ;Cmpl;;698217;<WN H>#H ;Objc;;698218;HJWM00;Time;;;;;
459062;171038;2_Samuel 18:1;link;JPQD ;qal;703924;W;Conj;;703925;JPQD ;Pred;;703926;DWD ;Subj;;703927;>T&H<M ;Objc;;;;;;;;;
459976;175454;2_Samuel 24:2;link;PQDW ;qal;706586;W;Conj;;706587;PQDW ;Pred;;706588;>T&H<M ;Objc;;;;;;;;;;;;;
459985;175523;2_Samuel 24:4;link;PQD ;qal;706618;LPQD ;Pred;;706619;>T&H<M >T&J#R>L00;Objc;;;;;;;;;;;;;;;;;
461728;185571;1_Kings 11:28;link;JPQD ;hif;711930;W;Conj;;711931;JPQD ;Pred;;711932;>TW ;Objc;;711933;LKL&SBL BJT JWSP00;Cmpl;;;;;;;;;
462286;188265;1_Kings 14:27;link;HPQJD ;hif;713604;W;Conj;;713605;HPQJD ;Pred;;713606;<L&JD #RJ HRYJM ;Cmpl;;;;;;;;;;;;;
463131;192254;1_Kings 20:15;link;JPQD ;qal;716012;W;Conj;;716013;JPQD ;Pred;;716014;>T&N<RJ #RJ HMDJNWT ;Objc;;;;;;;;;;;;;
463133;192268;1_Kings 20:15;link;PQD ;qal;716018;W;Conj;;716019;>XRJHM ;Adju;;716020;PQD ;Pred;;716021;>T&KL&H<M KL&BNJ J#R>L ;Objc;;716022;#B<T >LPJM00;Adju;;;;;
463182;192504;1_Kings 20:26;link;JPQD ;qal;716167;W;Conj;;716168;JPQD ;Pred;;716169;BN&HDD ;Subj;;716170;>T&>RM ;Objc;;;;;;;;;
463184;192519;1_Kings 20:27;link;HTPQDW ;hotp;716175;W;Conj;;716176;BNJ J#R>L ;Subj;;716177;HTPQDW ;Pred;;;;;;;;;;;;;
463271;192890;1_Kings 20:39;link;* HPQD ;nif;716431;>M&;Conj;;716432;HPQD ;Modi;;716433;JPQD ;Pred;;;;;;;;;;;;;
463970;195933;2_Kings 3:6;link;JPQD ;qal;718437;W;Conj;;718438;JPQD ;Pred;;718439;>T&KL&J#R>L00;Objc;;;;;;;;;;;;;
464483;198057;2_Kings 5:24;link;JPQD ;qal;719870;W;Conj;;719871;JPQD ;Pred;;719872;BBJT ;Cmpl;;;;;;;;;;;;;
464817;199397;2_Kings 7:17;link;HPQJD ;hif;720780;W;Conj;;720781;HMLK ;Subj;;720782;HPQJD ;Pred;;720783;>T&H#LJ# ;Objc;;720787;<L&H#<R ;Cmpl;;;;;
465178;201024;2_Kings 9:34;link;PQDW&;qal;721790;PQDW&;Pred;;721791;N> ;Intj;;721792;>T&H>RWRH HZ>T ;Objc;;;;;;;;;;;;;
465300;201581;2_Kings 10:19;link;JPQD ;nif;722141;>J# ;Subj;;722142;>L&;Nega;;722143;JPQD ;Pred;;;;;;;;;;;;;
465303;201591;2_Kings 10:19;link;JPQD ;nif;722149;>#R&;Rela;;722150;JPQD ;Pred;;;;;;;;;;;;;;;;;
465448;202373;2_Kings 11:15;link;PQDJ ;qal;722573;PQDJ ;PreC;;722574;HXJL ;Objc;;;;;;;;;;;;;;;;;
465517;202819;2_Kings 12:12;link;MPQDJM ;hof;722799;H;Rela;;722800;MPQDJM ;PreC;;722801;BJT JHWH ;Cmpl;;;;;;;;;;;;;
466681;209315;2_Kings 22:5;link;MPQDJM ;hof;726381;H;Rela;;726382;MPQDJM ;PreC;;726383;BJT JHWH ;Cmpl;;;;;;;;;;;;;
466700;209434;2_Kings 22:9;link;MPQDJM ;hof;726443;H;Rela;;726444;MPQDJM ;PreC;;726445;BJT JHWH00;Cmpl;;;;;;;;;;;;;
467047;211828;2_Kings 25:22;link;JPQD ;hif;727550;W;Conj;;727551;JPQD ;Pred;;727552;<LJHM ;Cmpl;;727553;>T&GDLJHW BN&>XJQM BN&#PN00;Objc;;;;;;;;;
467049;211847;2_Kings 25:23;link;HPQJD ;hif;727557;KJ&;Conj;;727558;HPQJD ;Pred;;727559;MLK&BBL ;Subj;;727560;>T&GDLJHW ;Objc;;;;;;;;;
467872;215698;Isaiah 10:12;link;>PQD ;qal;729867;>PQD ;Pred;;729868;<L&PRJ&GDL LBB MLK&>#WR W<L&TP>RT RWM <JNJW00;Cmpl;;;;;;;;;;;;;;;;;
467933;216001;Isaiah 10:28;link;JPQJD ;hif;730052;LMKM# ;Loca;Cmpl;730053;JPQJD ;Pred;;730054;KLJW00;Objc;;;;;;;;;;;;;
468042;216529;Isaiah 13:4;link;MPQD ;piel;730375;JHWH YB>WT ;Subj;;730376;MPQD ;PreC;;730377;YB> MLXMH00;Objc;;;;;;;;;;;;;
468063;216626;Isaiah 13:11;link;PQDTJ ;qal;730430;W;Conj;;730431;PQDTJ ;Pred;;730432;<L&TBL ;Adju;;730433;R<H ;Objc;;;;;;;;;
468761;219625;Isaiah 23:17;link;JPQD ;qal;732283;JPQD ;Pred;;732284;JHWH ;Subj;;732285;>T&YR ;Objc;;;;;;;;;;;;;
468850;219989;Isaiah 24:21;link;JPQD ;qal;732508;JPQD ;Pred;;732509;JHWH ;Subj;;732510;<L&YB> HMRWM ;Cmpl;;732511;BMRWM ;Loca;;;;;;;;;
468854;220020;Isaiah 24:22;link;JPQDW00;nif;732522;W;Conj;;732523;MRB JMJM ;Time;;732524;JPQDW00;Pred;;;;;;;;;;;;;
468948;220432;Isaiah 26:14;link;PQDT ;qal;732764;LKN ;Modi;;732765;PQDT ;Pred;;;;;;;;;;;;;;;;;
468957;220458;Isaiah 26:16;link;PQDWK ;qal;732780;BYR ;Adju;;732781;PQDWK ;PreO;;;;;;;;;;;;;;;;;
468985;220531;Isaiah 26:21;link;PQD ;qal;732842;LPQD ;Pred;;732843;<WN J#B&H>RY ;Objc;;732844;<LJW ;Adju;Cmpl;;;;;;;;;;;;
468988;220554;Isaiah 27:1;link;JPQD ;qal;732854;BJWM HHW> ;Time;;732855;JPQD ;Pred;;732856;JHWH ;Subj;;732857;BXRBW HQ#H WHGDWLH WHXZQH ;Adju;;732858;<L LWJTN NX# BRX W<L LWJTN NX# <QLTWN ;Cmpl;;;;;
468995;220600;Isaiah 27:3;link;JPQD ;qal;732872;PN ;Conj;;732873;JPQD ;Pred;;732874;<LJH ;Cmpl;;;;;;;;;;;;;
469184;221398;Isaiah 29:6;link;TPQD ;nif;733383;M<M JHWH YB>WT ;Adju;;733384;TPQD ;Pred;;733385;BR<M WBR<# WQWL GDWL SWPH WS<RH WLHB ># >WKLH00;Cmpl;Adju;;;;;;;;;;;;
469702;223523;Isaiah 34:16;link;PQDW ;qal;734783;>#H ;Adju;;734784;R<WTH ;Objc;;734785;L> ;Nega;;734786;PQDW ;Pred;;;;;;;;;
470052;225186;Isaiah 38:10;link;PQDTJ ;pual;735789;PQDTJ ;Pred;;735790;JTR #NWTJ00;Time;Cmpl;;;;;;;;;;;;;;;;
472348;233318;Isaiah 62:6;link;HPQDTJ ;hif;741746;<L&XWMTJK ;Cmpl;;741748;HPQDTJ ;Pred;;741749;#MRJM ;Objc;;;;;;;;;;;;;
