clause#;word#;passage;link;verb;stem;phr1#;phr1_txt;phr1_function;phr1_corr;phr2#;phr2_txt;phr2_function;phr2_corr;phr3#;phr3_txt;phr3_function;phr3_corr;phr4#;phr4_txt;phr4_function;phr4_corr;phr5#;phr5_txt;phr5_function;phr5_corr;phr6#;phr6_txt;phr6_function;phr6_corr;phr7#;phr7_txt;phr7_function;phr7_corr;phr8#;phr8_txt;phr8_function;phr8_corr;phr9#;phr9_txt;phr9_function;phr9_corr
453918;146295;1_Samuel 10:3;link;N#> ;qal;688241;W;Conj;;688242;>XD ;Subj;;688243;N#> ;PreC;;688244;#L#T KKRWT LXM ;Objc;;;;;;;;;;;;;;;;;;;;;
453919;146301;1_Samuel 10:3;link;N#> ;qal;688245;W;Conj;;688246;>XD ;Subj;;688247;N#> ;PreC;;688248;NBL&JJN00;Objc;;;;;;;;;;;;;;;;;;;;;
454052;146913;1_Samuel 11:4;link;J#>W ;qal;688658;W;Conj;;688659;J#>W ;Pred;;688660;KL&H<M ;Subj;;688661;>T&QWLM ;Objc;;;;;;;;;;;;;;;;;;;;;
454329;148309;1_Samuel 14:1;link;N#> ;qal;689524;W;Conj;;689525;* J>MR ;Pred;;689526;JWNTN BN&#>WL ;Subj;;689527;* >L&HN<R N#> KLJW ;Cmpl;;;;;;;;;;;;;;;;;;;;;
454338;148363;1_Samuel 14:3;link;N#> ;qal;689549;W;Conj;;689550;>XJH BN&>XVWB >XJ >JKBWD BN&PJNXS BN&<LJ KHN JHWH B#LW ;Subj;;689551;N#> ;PreC;;689552;>PWD ;Objc;;;;;;;;;;;;;;;;;;;;;
454349;148434;1_Samuel 14:6;link;N#> ;qal;689583;W;Conj;;689584;* J>MR ;Pred;;689585;JHWNTN ;Subj;;689586;* >L&HN<R N#> KLJW ;Cmpl;;;;;;;;;;;;;;;;;;;;;
454355;148464;1_Samuel 14:7;link;N#> ;qal;689601;W;Conj;;689602;* J>MR ;Pred;;689603;LW ;Cmpl;;689604;* N#> KLJW ;Subj;;;;;;;;;;;;;;;;;;;;;
454377;148549;1_Samuel 14:12;link;N#> ;qal;689668;W;Conj;;689669;* J<NW ;Pred;;689670;>N#J HMYBH ;Subj;;689671;* >T&JWNTN W>T&N#> KLJW ;Objc;;;;;;;;;;;;;;;;;;;;;
454381;148563;1_Samuel 14:12;link;N#> ;qal;689680;W;Conj;;689681;* J>MR ;Pred;;689682;JWNTN ;Subj;;689683;* >L&N#> KLJW ;Cmpl;;;;;;;;;;;;;;;;;;;;;
454385;148582;1_Samuel 14:13;link;N#> ;qal;689694;W;Conj;;689695;* N#> KLJW ;Subj;;689696;>XRJW ;PreC;;;;;;;;;;;;;;;;;;;;;;;;;
454387;148591;1_Samuel 14:13;link;N#> ;qal;689700;W;Conj;;689701;* N#> KLJW ;Subj;;689702;* MMWTT ;PreC;;689703;>XRJW00;Cmpl;;;;;;;;;;;;;;;;;;;;;
454389;148605;1_Samuel 14:14;link;N#> ;qal;689707;>#R ;Rela;;689708;* HKH ;Pred;;689709;* JWNTN WN#> KLJW ;Subj;;;;;;;;;;;;;;;;;;;;;;;;;
454406;148688;1_Samuel 14:17;link;N#> ;qal;689751;>JN ;NCop;;689752;* JWNTN WN#> KLJW00;Subj;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
454694;150063;1_Samuel 15:25;link;#> ;qal;690610;#> ;Pred;;690611;N> ;Intj;;690612;>T&XV>TJ ;Objc;;;;;;;;;;;;;;;;;;;;;;;;;
454853;150722;1_Samuel 16:21;link;N#> ;qal;691071;W;Conj;;691072;* JHJ&;Pred;;691073;LW ;PreC;;691074;* N#> KLJM00;Subj;;;;;;;;;;;;;;;;;;;;;
454887;150893;1_Samuel 17:7;link;N#> ;qal;691176;W;Conj;;691177;* N#> HYNH ;Subj;;691178;* HLK ;PreC;;691179;LPNJW00;Cmpl;;;;;;;;;;;;;;;;;;;;;
454942;151167;1_Samuel 17:20;link;J#> ;qal;691345;W;Conj;;691346;J#> ;Pred;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
455020;151536;1_Samuel 17:34;link;N#> ;qal;691571;W;Conj;;691572;N#> ;Pred;;691573;#H ;Objc;;691574;MH<DR00;Cmpl;;;;;;;;;;;;;;;;;;;;;
455060;151718;1_Samuel 17:41;link;N#> ;qal;691691;N#> ;PreC;;691692;HYNH ;Objc;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
455802;155210;1_Samuel 22:18;link;N#> ;qal;693981;N#> ;PreC;;693982;>PWD BD00;Objc;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
456053;156354;1_Samuel 24:17;link;J#> ;qal;694727;W;Conj;;694728;J#> ;Pred;;694729;#>WL ;Subj;;694730;QLW ;Objc;;;;;;;;;;;;;;;;;;;;;
456226;157120;1_Samuel 25:28;link;#> ;qal;695248;#> ;Pred;;695249;N> ;Intj;;695250;LP#< >MTK ;Cmpl;;;;;;;;;;;;;;;;;;;;;;;;;
456270;157319;1_Samuel 25:35;link;>#> ;qal;695379;W;Conj;;695380;>#> ;Pred;;695381;PNJK00;Objc;;;;;;;;;;;;;;;;;;;;;;;;;
456723;159501;1_Samuel 30:4;link;J#> ;qal;696808;W;Conj;;696809;J#> ;Pred;;696810;DWD WH<M ;Subj;;696813;>T&QWLM ;Objc;;;;;;;;;;;;;;;;;;;;;
456863;160231;1_Samuel 31:4;link;N#> ;qal;697230;W;Conj;;697231;* J>MR ;Pred;;697232;#>WL ;Subj;;697233;* LN#> KLJW ;Cmpl;;;;;;;;;;;;;;;;;;;;;
456869;160252;1_Samuel 31:4;link;N#> ;qal;697247;W;Conj;;697248;L> ;Nega;;697249;* >BH ;Pred;;697250;* N#> KLJW ;Subj;;;;;;;;;;;;;;;;;;;;;
456873;160268;1_Samuel 31:5;link;N#>&;qal;697261;W;Conj;;697262;* JR> ;Pred;;697263;* N#>&KLJW ;Subj;;;;;;;;;;;;;;;;;;;;;;;;;
456877;160289;1_Samuel 31:6;link;N#> ;qal;697274;W;Conj;;697275;* JMT ;Pred;;697276;* #>WL W#L#T BNJW WN#> KLJW GM KL&>N#JW ;Subj;;697277;BJWM HHW> ;Time;;697278;JXDW00;Modi;;;;;;;;;;;;;;;;;
457114;161420;2_Samuel 2:22;link;>#> ;qal;697967;W;Conj;;697968;>JK ;Ques;;697969;>#> ;Pred;;697970;PNJ ;Objc;;697971;>L&JW>B >XJK00;Cmpl;;;;;;;;;;;;;;;;;
457160;161651;2_Samuel 2:32;link;J#>W ;qal;698113;W;Conj;;698114;J#>W ;Pred;;698115;>T&<#H>L ;Objc;;;;;;;;;;;;;;;;;;;;;;;;;
457304;162405;2_Samuel 3:32;link;J#> ;qal;698561;W;Conj;;698562;J#> ;Pred;;698563;HMLK ;Subj;;698564;>T&QWLW ;Objc;;;;;;;;;;;;;;;;;;;;;
457352;162668;2_Samuel 4:4;link;T#>HW ;qal;698713;W;Conj;;698714;T#>HW ;PreO;;698715;>MNTW ;Subj;;;;;;;;;;;;;;;;;;;;;;;;;
457446;163178;2_Samuel 5:12;link;N#> ;piel;699006;W;Conj;;699007;KJ ;Conj;;699008;N#> ;Pred;;699009;MMLKTW ;Objc;;699010;B<BWR <MW J#R>L00;Adju;;;;;;;;;;;;;;;;;
457476;163333;2_Samuel 5:21;link;J#>M ;qal;699104;W;Conj;;699105;J#>M ;PreO;;699106;DWD W>N#JW00;Subj;;;;;;;;;;;;;;;;;;;;;;;;;
457502;163459;2_Samuel 6:3;link;J#>HW ;qal;699182;W;Conj;;699183;J#>HW ;PreO;;699184;MBJT >BJNDB ;Cmpl;;;;;;;;;;;;;;;;;;;;;;;;;
457505;163479;2_Samuel 6:4;link;J#>HW ;qal;699191;W;Conj;;699192;J#>HW ;PreO;;699193;MBJT >BJNDB ;Cmpl;;699196;<M >RWN H>LHJM ;Adju;;;;;;;;;;;;;;;;;;;;;
457534;163690;2_Samuel 6:13;link;N#>J ;qal;699298;KJ ;Conj;;699299;* Y<DW ;Pred;;699300;* N#>J >RWN&JHWH ;Subj;;699301;##H Y<DJM ;Objc;;;;;;;;;;;;;;;;;;;;;
457716;164631;2_Samuel 8:2;link;N#>J ;qal;699853;W;Conj;;699854;* THJ ;Pred;;699855;MW>B ;Subj;;699856;LDWD ;Cmpl;;699857;* L<BDJM N#>J MNXH00;PreC;;;;;;;;;;;;;;;;;
457727;164710;2_Samuel 8:6;link;NW#>J ;qal;699894;W;Conj;;699895;* THJ ;Pred;;699896;>RM ;Subj;;699897;LDWD ;Cmpl;;699898;* L<BDJM NW#>J MNXH ;PreC;;;;;;;;;;;;;;;;;
458405;167897;2_Samuel 13:34;link;J#> ;qal;701976;W;Conj;;701977;J#> ;Pred;;701978;HN<R ;Subj;;701981;>T&<JNJW ;Objc;;;;;;;;;;;;;;;;;;;;;
458417;167947;2_Samuel 13:36;link;J#>W ;qal;702007;W;Conj;;702008;J#>W ;Pred;;702009;QWLM ;Objc;;;;;;;;;;;;;;;;;;;;;;;;;
458501;168326;2_Samuel 14:14;link;J#> ;qal;702258;W;Conj;;702259;L>&;Nega;;702260;J#> ;Pred;;702261;>LHJM ;Subj;;702262;NP# ;Objc;;;;;;;;;;;;;;;;;
458736;169429;2_Samuel 15:24;link;N#>JM ;qal;702959;N#>JM ;PreC;;702960;>T&>RWN BRJT H>LHJM ;Objc;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
458978;170577;2_Samuel 17:13;link;H#J>W ;hif;703667;W;Conj;;703668;H#J>W ;Pred;;703669;KL&J#R>L ;Subj;;703670;>L&H<JR HHJ> ;Cmpl;;703671;XBLJM ;Objc;;;;;;;;;;;;;;;;;
459134;171445;2_Samuel 18:15;link;N#>J ;qal;704164;W;Conj;;704165;* JSBW ;Pred;;704166;* <#RH N<RJM N#>J KLJ JW>B ;Subj;;;;;;;;;;;;;;;;;;;;;;;;;
459185;171684;2_Samuel 18:24;link;J#> ;qal;704322;W;Conj;;704323;J#> ;Pred;;704324;>T&<JNJW ;Objc;;;;;;;;;;;;;;;;;;;;;;;;;
459213;171802;2_Samuel 18:28;link;N#>W ;qal;704401;>#R&;Rela;;704402;N#>W ;Pred;;704403;>T&JDM ;Objc;;704404;B>DNJ HMLK00;Cmpl;;;;;;;;;;;;;;;;;;;;;
