clause#;word#;passage;link;verb;stem;phr1#;phr1_txt;phr1_function;phr1_corr;phr2#;phr2_txt;phr2_function;phr2_corr;phr3#;phr3_txt;phr3_function;phr3_corr;phr4#;phr4_txt;phr4_function;phr4_corr;phr5#;phr5_txt;phr5_function;phr5_corr;phr6#;phr6_txt;phr6_function;phr6_corr
439793;68745;Leviticus 26:36;link;NSW ;qal;645447;W;Conj;;645448;NSW ;Pred;;645449;MNST&XRB ;Adju;;;;;;;;;;;;;
441024;76777;Numbers 10:35;link;JNSW ;qal;649056;W;Conj;;649057;JNSW ;Pred;;649058;M#N>JK ;Subj;;649059;MPNJK00;Cmpl;;;;;;;;;
441788;80713;Numbers 16:34;link;NSW ;qal;651375;W;Conj;;651376;KL&J#R>L ;Subj;;651379;NSW ;Pred;;651380;LQLM ;Cmpl;;;;;;;;;
443732;91947;Numbers 35:6;link;NS ;qal;657329;LNS ;Pred;;657330;#MH ;Cmpl;;657331;HRYX ;Subj;;;;;;;;;;;;;
443750;92037;Numbers 35:11;link;NS ;qal;657381;W;Conj;;657382;NS ;Pred;;657383;#MH ;Cmpl;;657384;RYX ;Subj;;;;;;;;;
443762;92121;Numbers 35:15;link;NWS ;qal;657419;LNWS ;Pred;;657420;#MH ;Cmpl;;657421;KL&;Subj;;;;;;;;;;;;;
443805;92303;Numbers 35:25;link;NS ;qal;657541;>#R&;Rela;;657542;NS ;Pred;;657543;#MH ;Cmpl;;;;;;;;;;;;;
443809;92332;Numbers 35:26;link;JNWS ;qal;657558;>#R ;Rela;;657559;JNWS ;Pred;;657560;#MH00;Cmpl;;;;;;;;;;;;;
443825;92432;Numbers 35:32;link;NWS ;qal;657615;LNWS ;Pred;;657616;>L&<JR MQLVW ;Cmpl;;;;;;;;;;;;;;;;;
444497;96135;Deuteronomy 4:42;link;NS ;qal;659629;LNS ;Pred;;659630;#MH ;Modi;;659631;RWYX ;Subj;;;;;;;;;;;;;
444500;96154;Deuteronomy 4:42;link;NS ;qal;659642;W;Conj;;659643;NS ;Pred;;659644;>L&>XT MN&H<RJM H>L ;Cmpl;;;;;;;;;;;;;
445930;103915;Deuteronomy 19:3;link;NWS ;qal;663966;LNWS ;Pred;;663967;#MH ;Cmpl;;663968;KL&RYX00;Subj;;;;;;;;;;;;;
445932;103925;Deuteronomy 19:4;link;JNWS ;qal;663972;>#R&;Rela;;663973;JNWS ;Pred;;663974;#MH ;Cmpl;;;;;;;;;;;;;
445943;103979;Deuteronomy 19:5;link;JNWS ;qal;664008;HW> ;Subj;;664009;JNWS ;Pred;;664010;>L&>XT H<RJM&H>LH ;Cmpl;;;;;;;;;;;;;
445975;104132;Deuteronomy 19:11;link;NS ;qal;664112;W;Conj;;664113;NS ;Pred;;664114;>L&>XT H<RJM H>L00;Cmpl;;;;;;;;;;;;;
446806;108201;Deuteronomy 28:7;link;JNWSW ;qal;666606;W;Conj;;666607;B#B<H DRKJM ;Adju;Cmpl;666608;JNWSW ;Pred;;666609;LPNJK00;Cmpl;;;;;;;;;
446874;108571;Deuteronomy 28:25;link;TNWS ;qal;666806;W;Conj;;666807;B#B<H DRKJM ;Adju;Cmpl;666808;TNWS ;Pred;;666809;LPNJW ;Cmpl;;;;;;;;;
447504;111826;Deuteronomy 32:30;link;JNJSW ;hif;668665;W;Conj;;668666;#NJM ;Subj;;668667;JNJSW ;Pred;;668668;RBBH ;Objc;;;;;;;;;
447727;112813;Deuteronomy 34:7;link;NS ;qal;669288;W;Conj;;669289;L>&;Nega;;669290;NS ;Pred;;669291;LXH00;Subj;;;;;;;;;
448337;116182;Joshua 7:4;link;JNSW ;qal;671144;W;Conj;;671145;JNSW ;Pred;;671146;LPNJ >N#J H<J00;Cmpl;;;;;;;;;;;;;
448475;116926;Joshua 8:5;link;NSNW ;qal;671566;W;Conj;;671567;NSNW ;Pred;;671568;LPNJHM00;Cmpl;;;;;;;;;;;;;
448479;116940;Joshua 8:6;link;NSJM ;qal;671577;NSJM ;PreC;;671578;LPNJNW ;Cmpl;;;;;;;;;;;;;;;;;
448481;116949;Joshua 8:6;link;NSNW ;qal;671581;W;Conj;;671582;NSNW ;Pred;;671583;LPNJHM00;Cmpl;;;;;;;;;;;;;
