clause#;word#;passage;link;verb;stem;phr1#;phr1_txt;phr1_function;phr1_corr;phr2#;phr2_txt;phr2_function;phr2_corr;phr3#;phr3_txt;phr3_function;phr3_corr;phr4#;phr4_txt;phr4_function;phr4_corr;phr5#;phr5_txt;phr5_function;phr5_corr;phr6#;phr6_txt;phr6_function;phr6_corr;phr7#;phr7_txt;phr7_function;phr7_corr;phr8#;phr8_txt;phr8_function;phr8_corr
510664;402898;1_Chronicles 22:19;link;TNW ;qal;846555;<TH ;Modi;;846556;TNW ;Pred;;846557;LBBKM WNP#KM ;Objc;;;;;;;;;;;;;;;;;;;;;
510838;403974;1_Chronicles 25:5;link;JTN ;qal;847006;W;Conj;;847007;JTN ;Pred;;847008;H>LHJM ;Subj;;847009;LHJMN ;Cmpl;;847010;BNJM >RB<H <#R WBNWT #LW#00;Objc;;;;;;;;;;;;;
511077;405621;1_Chronicles 28:5;link;NTN ;qal;847603;KJ ;Conj;;847604;RBJM BNJM ;Objc;;847605;NTN ;Pred;;847606;LJ ;Cmpl;;847607;JHWH ;Subj;;;;;;;;;;;;;
511108;405764;1_Chronicles 28:11;link;JTN ;qal;847689;W;Conj;;847690;JTN ;Pred;;847691;DWJD ;Subj;;847692;L#LMH BNW ;Cmpl;;847693;>T&TBNJT H>WLM W>T&BTJW WGNZKJW W<LJTJW WXDRJW HPNJMJM WBJT HKPRT00;Objc;;;;;;;;;;;;;
511154;406160;1_Chronicles 29:3;link;NTTJ ;qal;847822;W;Conj;;847823;<WD ;Modi;;847829;ZHB WKSP ;Objc;;847830;NTTJ ;Pred;;847831;LBJT&>LHJ ;Cmpl;;847832;LM<LH MKL&;Adju;;;;;;;;;
511165;406244;1_Chronicles 29:7;link;JTNW ;qal;847853;W;Conj;;847854;JTNW ;Pred;;847855;L<BWDT BJT&H>LHJM ;Cmpl;;847856;ZHB KKRJM XM#T&>LPJM W>DRKNJM RBW WKSP KKRJM <#RT >LPJM WNX#T RBW W#MWNT >LPJM KKRJM WBRZL M>H&>LP KKRJM00;Objc;;;;;;;;;;;;;;;;;
511166;406279;1_Chronicles 29:8;link;NTNW ;qal;847857;W;Conj;;847862;NTNW ;Pred;;847863;L>WYR BJT&JHWH ;Cmpl;;847864;<L JD&JXJ>L HGR#NJ00;Adju;;;;;;;;;;;;;;;;;
511197;406434;1_Chronicles 29:14;link;NTNW ;qal;847942;W;Conj;;847943;MJDK ;Adju;;847944;NTNW ;Pred;;847945;LK00;Cmpl;;;;;;;;;;;;;;;;;
511220;406532;1_Chronicles 29:19;link;TN ;qal;848005;W;Conj;;848006;L#LMH BNJ ;Cmpl;;848007;TN ;Pred;;848008;LBB #LM ;Objc;;;;;;;;;;;;;;;;;
511241;406680;1_Chronicles 29:24;link;NTNW ;qal;848076;W;Conj;;848077;KL&H#RJM WHGBRJM WGM KL&BNJ HMLK DWJD ;Subj;;848078;NTNW ;Pred;;848079;JD ;Objc;;848080;TXT #LMH HMLK00;Cmpl;;;;;;;;;;;;;
511243;406698;1_Chronicles 29:25;link;JTN ;qal;848087;W;Conj;;848088;JTN ;Pred;;848089;<LJW ;Cmpl;;848090;HWD MLKWT ;Objc;;;;;;;;;;;;;;;;;
511276;406951;2_Chronicles 1:7;link;>TN&;qal;848201;MH ;Objc;;848202;>TN&;Pred;;848203;LK00;Cmpl;;;;;;;;;;;;;;;;;;;;;
511286;406990;2_Chronicles 1:10;link;TN&;qal;848227;XKMH WMD< ;Objc;;848228;TN&;Pred;;848229;LJ ;Cmpl;;;;;;;;;;;;;;;;;;;;;
511298;407057;2_Chronicles 1:12;link;NTWN ;qal;848267;HXKMH WHMD< ;Objc;Subj;848268;NTWN ;PreC;;848269;LK ;Cmpl;;;;;;;;;;;;;;;;;;;;;
511299;407065;2_Chronicles 1:12;link;>TN&;qal;848270;W;Conj;;848271;<#R WNKSJM WKBWD ;Objc;;848272;>TN&;Pred;;848273;LK ;Cmpl;;;;;;;;;;;;;;;;;
511310;407133;2_Chronicles 1:15;link;JTN ;qal;848308;W;Conj;;848309;JTN ;Pred;;848310;HMLK ;Subj;;848311;>T&HKSP W>T&HZHB ;Objc;;848312;BJRW#LM ;Loca;Cmpl;848313;K>BNJM ;Cmpl;;;;;;;;;
511311;407152;2_Chronicles 1:15;link;NTN ;qal;848314;W;Conj;;848315;>T H>RZJM ;Objc;;848316;NTN ;Pred;;848317;K#QMJM ;Cmpl;;;;;;;;;;;;;;;;;
511359;407465;2_Chronicles 2:9;link;NTTJ ;qal;848464;W;Conj;;848465;HNH ;Intj;;848466;LXVBJM LKRTJ H<YJM ;Cmpl;;848467;NTTJ ;Pred;;848468;XVJM MKWT L<BDJK KRJM <#RJM >LP W#<RJM KRJM <#RJM >LP WJJN BTJM <#RJM >LP W#MN BTJM <#RJM >LP00;Objc;;;;;;;;;;;;;
511362;407504;2_Chronicles 2:10;link;NTNK ;qal;848476;B>HBT JHWH >T&<MW ;Adju;;848477;NTNK ;PreO;;848478;<LJHM ;Cmpl;;848479;MLK00;Objc;;;;;;;;;;;;;;;;;
511366;407524;2_Chronicles 2:11;link;NTN ;qal;848488;>#R ;Rela;;848489;NTN ;Pred;;848490;LDWJD HMLK ;Cmpl;;848491;BN XKM ;Objc;;;;;;;;;;;;;;;;;
511378;407611;2_Chronicles 2:13;link;JNTN&;nif;848516;>#R ;Rela;;848517;JNTN&;Pred;;848518;LW ;Cmpl;;;;;;;;;;;;;;;;;;;;;
511442;408042;2_Chronicles 3:16;link;JTN ;qal;848718;W;Conj;;848719;JTN ;Pred;;848720;<L&R># H<MDJM ;Cmpl;;;;;;;;;;;;;;;;;;;;;
511444;408052;2_Chronicles 3:16;link;JTN ;qal;848724;W;Conj;;848725;JTN ;Pred;;848726;B#R#RWT00;Cmpl;;;;;;;;;;;;;;;;;;;;;
511475;408207;2_Chronicles 4:6;link;JTN ;qal;848821;W;Conj;;848822;JTN ;Pred;;848823;XM#H ;Objc;;848824;MJMJN ;Cmpl;;;;;;;;;;;;;;;;;
511482;408243;2_Chronicles 4:7;link;JTN ;qal;848843;W;Conj;;848844;JTN ;Pred;;848845;BHJKL ;Loca;Cmpl;848846;XM# ;Objc;BoundErr;848847;MJMJN ;Cmpl;BoundErr;;;;;;;;;;;;
511490;408298;2_Chronicles 4:10;link;NTN ;qal;848873;W;Conj;;848874;>T&HJM ;Objc;;848875;NTN ;Pred;;848876;MKTP HJMNJT QDMH MMWL NGBH00;Cmpl;;;;;;;;;;;;;;;;;
511523;408602;2_Chronicles 5:1;link;NTN ;qal;848970;W;Conj;;848971;>T&HKSP W>T&HZHB W>T&KL&HKLJM ;Objc;;848972;NTN ;Pred;;848973;B>YRWT BJT H>LHJM00;Cmpl;;;;;;;;;;;;;;;;;
511546;408803;2_Chronicles 5:10;link;NTN ;qal;849054;>#R&;Rela;;849055;NTN ;Pred;;849056;M#H ;Subj;;849057;BXRB ;Cmpl;;;;;;;;;;;;;;;;;
511620;409183;2_Chronicles 6:13;link;JTNHW ;qal;849273;W;Conj;;849274;JTNHW ;PreO;;849275;BTWK H<ZRH ;Cmpl;;;;;;;;;;;;;;;;;;;;;
511677;409475;2_Chronicles 6:23;link;TT ;qal;849437;LTT ;Pred;;849438;DRKW ;Objc;;849439;BR>#W ;Cmpl;;;;;;;;;;;;;;;;;;;;;
511679;409484;2_Chronicles 6:23;link;TT ;qal;849443;LTT ;Pred;;849444;LW ;Cmpl;;849445;KYDQTW00;Adju;;;;;;;;;;;;;;;;;;;;;
511689;409534;2_Chronicles 6:25;link;NTTH ;qal;849475;>#R&;Rela;;849476;NTTH ;Pred;;849477;LHM WL>BTJHM00;Cmpl;;;;;;;;;;;;;;;;;;;;;
511701;409590;2_Chronicles 6:27;link;NTTH ;qal;849510;W;Conj;;849511;NTTH ;Pred;;849512;MVR ;Objc;;849513;<L&>RYK ;Cmpl;;;;;;;;;;;;;;;;;
511702;409595;2_Chronicles 6:27;link;NTTH ;qal;849514;>#R&;Rela;;849515;NTTH ;Pred;;849516;L<MK ;Cmpl;;849517;LNXLH00;Cmpl;;;;;;;;;;;;;;;;;
511718;409669;2_Chronicles 6:30;link;NTTH ;qal;849552;W;Conj;;849553;NTTH ;Pred;;849554;L>J# ;Cmpl;;849555;KKL&DRKJW ;Adju;;;;;;;;;;;;;;;;;
