clause#;word#;passage;link;verb;stem;phr1#;phr1_txt;phr1_function;phr1_corr;phr2#;phr2_txt;phr2_function;phr2_corr;phr3#;phr3_txt;phr3_function;phr3_corr;phr4#;phr4_txt;phr4_function;phr4_corr;phr5#;phr5_txt;phr5_function;phr5_corr;phr6#;phr6_txt;phr6_function;phr6_corr
452971;141854;1_Samuel 1:17;link;LKJ ;qal;685392;LKJ ;Pred;;685393;L#LWM ;Cmpl;Adju;;;;;;;;;;;;;;;;
452976;141875;1_Samuel 1:18;link;TLK ;qal;685407;W;Conj;;685408;TLK ;Pred;;685409;H>#H ;Subj;;685410;LDRKH ;Cmpl;;;;;;;;;
453069;142251;1_Samuel 2:11;link;JLK ;qal;685677;W;Conj;;685678;JLK ;Pred;;685679;>LQNH ;Subj;;685680;HRMTH ;Cmpl;;685681;<L&BJTW ;Cmpl;;;;;
453112;142484;1_Samuel 2:20;link;HLKW ;qal;685813;W;Conj;;685814;HLKW ;Pred;;685815;LMQMW00;Cmpl;;;;;;;;;;;;;
453136;142601;1_Samuel 2:26;link;HLK ;qal;685893;W;Conj;;685894;HN<R #MW>L ;Subj;;685895;HLK ;PreC;;;;;;;;;;;;;
453155;142705;1_Samuel 2:30;link;JTHLKW ;hit;685950;BJTK WBJT >BJK ;Subj;;685951;JTHLKW ;Pred;;685952;LPNJ ;Cmpl;;685953;<D&<WLM ;Time;;;;;;;;;
453177;142819;1_Samuel 2:35;link;HTHLK ;hit;686023;W;Conj;;686024;HTHLK ;Pred;;686025;LPNJ&M#JXJ ;Cmpl;;686026;KL&HJMJM00;Time;;;;;;;;;
453208;142938;1_Samuel 3:5;link;JLK ;qal;686104;W;Conj;;686105;JLK ;Pred;;;;;;;;;;;;;;;;;
453213;142951;1_Samuel 3:6;link;JLK ;qal;686117;W;Conj;;686118;JLK ;Pred;;686119;>L&<LJ ;Cmpl;;;;;;;;;;;;;
453227;142990;1_Samuel 3:8;link;JLK ;qal;686151;W;Conj;;686152;JLK ;Pred;;686153;>L&<LJ ;Cmpl;;;;;;;;;;;;;
453234;143013;1_Samuel 3:9;link;LK ;qal;686171;LK ;Pred;;;;;;;;;;;;;;;;;;;;;
453242;143028;1_Samuel 3:9;link;JLK ;qal;686185;W;Conj;;686186;JLK ;Pred;;686187;#MW>L ;Subj;;;;;;;;;;;;;
453504;144252;1_Samuel 6:6;link;JLKW00;qal;686968;W;Conj;;686969;JLKW00;Pred;;;;;;;;;;;;;;;;;
453517;144315;1_Samuel 6:8;link;HLK00;qal;687011;W;Conj;;687012;HLK00;Pred;;;;;;;;;;;;;;;;;
453532;144403;1_Samuel 6:12;link;HLKW ;qal;687060;BMSLH >XT ;Cmpl;;687061;HLKW ;Pred;;687062;HLK WG<W ;Modi;Adju;;;;;;;;;;;;
453534;144416;1_Samuel 6:12;link;HLKJM ;qal;687067;W;Conj;;687068;SRNJ PL#TJM ;Subj;;687069;HLKJM ;PreC;;687070;>XRJHM ;Cmpl;;687071;<D&GBWL BJT #M#00;Cmpl;;;;;
453642;145032;1_Samuel 7:16;link;HLK ;qal;687425;W;Conj;;687426;HLK ;Pred;;687427;MDJ #NH B#NH ;Time;;;;;;;;;;;;;
453655;145105;1_Samuel 8:3;link;HLKW ;qal;687468;W;Conj;;687469;L>&;Nega;;687470;HLKW ;Pred;;687471;BNJW ;Subj;;687472;BDRKJW ;Cmpl;;;;;
453663;145140;1_Samuel 8:5;link;HLKW ;qal;687495;W;Conj;;687496;BNJK ;Subj;;687497;L> ;Nega;;687498;HLKW ;Pred;;687499;BDRKJK ;Cmpl;;;;;
453727;145469;1_Samuel 8:22;link;LKW ;qal;687700;LKW ;Pred;;;;;;;;;;;;;;;;;;;;;
453742;145545;1_Samuel 9:3;link;LK ;qal;687740;LK ;Pred;;;;;;;;;;;;;;;;;;;;;
453754;145590;1_Samuel 9:5;link;LKH ;qal;687772;LKH ;Pred;;;;;;;;;;;;;;;;;;;;;
