clause#;word#;passage;link;verb;stem;phr1#;phr1_txt;phr1_function;phr1_corr;phr2#;phr2_txt;phr2_function;phr2_corr;phr3#;phr3_txt;phr3_function;phr3_corr;phr4#;phr4_txt;phr4_function;phr4_corr;phr5#;phr5_txt;phr5_function;phr5_corr;phr6#;phr6_txt;phr6_function;phr6_corr;phr7#;phr7_txt;phr7_function;phr7_corr;phr8#;phr8_txt;phr8_function;phr8_corr
504865;369761;Esther 9:25;link;B>H ;qal;829657;BB>H ;PreS;;829658;LPNJ HMLK ;Cmpl;;;;;;;;;;;;;;;;;;;;;;;;;
504899;370070;Daniel 1:1;link;B> ;qal;829780;B#NT #LW# LMLKWT JHWJQJM MLK&JHWDH ;Time;;829781;B> ;Pred;;829782;NBWKDN>YR MLK&BBL ;Subj;;829783;JRW#LM ;Cmpl;;;;;;;;;;;;;;;;;
504902;370095;Daniel 1:2;link;JBJ>M ;hif;829792;W;Conj;;829793;JBJ>M ;PreO;;829794;>RY&#N<R BJT >LHJW ;Cmpl;;;;;;;;;;;;;;;;;;;;;
504903;370104;Daniel 1:2;link;HBJ> ;hif;829795;W;Conj;;829796;>T&HKLJM ;Objc;;829797;HBJ> ;Pred;;829798;BJT >WYR >LHJW00;Cmpl;;;;;;;;;;;;;;;;;
504905;370117;Daniel 1:3;link;HBJ> ;hif;829803;LHBJ> ;Pred;;829804;MBNJ J#R>L WMZR< HMLWKH WMN&HPRTMJM00;Cmpl;;;;;;;;;;;;;;;;;;;;;;;;;
504963;370453;Daniel 1:18;link;HBJ>M ;hif;829982;LHBJ>M ;PreO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
504964;370455;Daniel 1:18;link;JBJ>M ;hif;829983;W;Conj;;829984;JBJ>M ;PreO;;829985;#R HSRJSJM ;Subj;;829986;LPNJ NBKDNYR00;Cmpl;;;;;;;;;;;;;;;;;
504979;370563;Daniel 2:2;link;JB>W ;qal;830034;W;Conj;;830035;JB>W ;Pred;;;;;;;;;;;;;;;;;;;;;;;;;
506022;375276;Daniel 8:5;link;B> ;qal;833111;W;Conj;;833112;HNH ;Intj;;833113;YPJR&H<ZJM ;Subj;;833114;B> ;PreC;;833115;MN&HM<RB ;Cmpl;;833116;<L&PNJ KL&H>RY ;Cmpl;;;;;;;;;
506026;375299;Daniel 8:6;link;JB> ;qal;833125;W;Conj;;833126;JB> ;Pred;;833127;<D&H>JL B<L HQRNJM ;Cmpl;;;;;;;;;;;;;;;;;;;;;
506076;375543;Daniel 8:17;link;JB> ;qal;833268;W;Conj;;833269;JB> ;Pred;;833270;>YL <MDJ ;Cmpl;;;;;;;;;;;;;;;;;;;;;
506078;375548;Daniel 8:17;link;B>W ;qal;833272;BB>W ;PreS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
506175;376009;Daniel 9:12;link;HBJ> ;hif;833525;LHBJ> ;Pred;;833526;<LJNW ;Cmpl;;833527;R<H GDLH ;Objc;;;;;;;;;;;;;;;;;;;;;
506180;376037;Daniel 9:13;link;B>H ;qal;833539;B>H ;Pred;;833540;<LJNW ;Cmpl;;;;;;;;;;;;;;;;;;;;;;;;;
506185;376062;Daniel 9:14;link;JBJ>H ;hif;833554;W;Conj;;833555;JBJ>H ;PreO;;833556;<LJNW ;Cmpl;;;;;;;;;;;;;;;;;;;;;
506235;376274;Daniel 9:23;link;B>TJ ;qal;833686;W;Conj;;833687;>NJ ;Subj;;833688;B>TJ ;Pred;;;;;;;;;;;;;;;;;;;;;
506244;376313;Daniel 9:24;link;HBJ> ;hif;833710;W;Conj;;833711;LHBJ> ;Pred;;833712;YDQ <LMJM ;Objc;;;;;;;;;;;;;;;;;;;;;
506258;376383;Daniel 9:26;link;B> ;qal;833749;H;Rela;;833750;B> ;PreC;;;;;;;;;;;;;;;;;;;;;;;;;
506274;376478;Daniel 10:3;link;B> ;qal;833805;W;Conj;;833806;B#R WJJN ;Objc;;833807;L>&;Nega;;833808;B> ;Pred;;833809;>L&PJ ;Cmpl;;;;;;;;;;;;;
506324;376709;Daniel 10:12;link;B>TJ ;qal;833956;W;Conj;;833957;>NJ&;Subj;;833958;B>TJ ;Pred;;833959;BDBRJK00;Adju;;;;;;;;;;;;;;;;;
506327;376731;Daniel 10:13;link;B> ;qal;833967;MJK>L >XD H#RJM HR>#NJM ;Subj;;833968;B> ;Pred;;;;;;;;;;;;;;;;;;;;;;;;;
506330;376742;Daniel 10:14;link;B>TJ ;qal;833975;W;Conj;;833976;B>TJ ;Pred;;;;;;;;;;;;;;;;;;;;;;;;;
506367;376867;Daniel 10:20;link;B>TJ ;qal;834067;LMH&;Ques;;834068;B>TJ ;Pred;;834069;>LJK ;Cmpl;;;;;;;;;;;;;;;;;;;;;
506371;376884;Daniel 10:20;link;B>00;qal;834078;W;Conj;;834079;HNH ;Intj;;834080;#R&JWN ;Subj;;834081;B>00;PreC;;;;;;;;;;;;;;;;;
506399;377022;Daniel 11:6;link;TBW> ;qal;834164;W;Conj;;834165;BT MLK&HNGB ;Subj;;834166;TBW> ;Pred;;834167;>L&MLK HYPWN ;Cmpl;;;;;;;;;;;;;;;;;
506404;377045;Daniel 11:6;link;MBJ>JH ;hif;834179;W;Conj;;834180;TNTN ;Pred;;834181;HJ> WMBJ>JH WHJLDH WMXZQH ;Subj;;834182;B<TJM00;Time;;;;;;;;;;;;;;;;;
506406;377061;Daniel 11:7;link;JB> ;qal;834187;W;Conj;;834188;JB> ;Pred;;834189;>L&HXJL ;Cmpl;;;;;;;;;;;;;;;;;;;;;
506407;377066;Daniel 11:7;link;JB> ;qal;834190;W;Conj;;834191;JB> ;Pred;;834192;BM<WZ MLK HYPWN ;Cmpl;;;;;;;;;;;;;;;;;;;;;
506410;377091;Daniel 11:8;link;JB> ;hif;834198;W;Conj;;834199;GM >LHJHM <M&NSKJHM <M&KLJ XMDTM KSP WZHB ;Objc;;834200;B#BJ ;Adju;;834201;JB> ;Pred;;834202;MYRJM ;Cmpl;;;;;;;;;;;;;
506412;377102;Daniel 11:9;link;B> ;qal;834208;W;Conj;;834209;B> ;Pred;;834210;BMLKWT ;Cmpl;;834211;MLK HNGB ;Subj;;;;;;;;;;;;;;;;;
506416;377121;Daniel 11:10;link;B> ;qal;834221;W;Conj;;834222;B> ;Pred;;834223;BW> ;Modi;;;;;;;;;;;;;;;;;;;;;
506433;377188;Daniel 11:13;link;JBW> ;qal;834268;W;Conj;;834269;LQY H<TJM #NJM ;Time;;834270;JBW> ;Pred;;834271;BW> ;Modi;;834272;BXJL GDWL WBRKW# RB00;Adju;;;;;;;;;;;;;
506438;377220;Daniel 11:15;link;JB> ;qal;834285;W;Conj;;834286;JB> ;Pred;;834287;MLK HYPWN ;Subj;;;;;;;;;;;;;;;;;;;;;
506446;377248;Daniel 11:16;link;B> ;qal;834306;H;Rela;;834307;B> ;PreC;;834308;>LJW ;Cmpl;;;;;;;;;;;;;;;;;;;;;
506451;377271;Daniel 11:17;link;BW> ;qal;834323;LBW> ;Pred;;834324;BTQP KL&MLKWTW ;Cmpl;;;;;;;;;;;;;;;;;;;;;;;;;
506473;377359;Daniel 11:21;link;B> ;qal;834392;W;Conj;;834393;B> ;Pred;;834394;B#LWH ;Adju;;;;;;;;;;;;;;;;;;;;;
506483;377400;Daniel 11:24;link;JBW> ;qal;834418;W;Conj;;834419;BM#MNJ MDJNH ;Cmpl;;834420;JBW> ;Pred;;;;;;;;;;;;;;;;;;;;;
506506;377514;Daniel 11:29;link;B> ;qal;834492;W;Conj;;834493;B> ;Pred;;834494;BNGB ;Cmpl;;;;;;;;;;;;;;;;;;;;;
506508;377529;Daniel 11:30;link;B>W ;qal;834499;W;Conj;;834500;B>W ;Pred;;834501;BW ;Cmpl;;834502;YJJM KTJM ;Subj;;;;;;;;;;;;;;;;;
506554;377759;Daniel 11:40;link;B> ;qal;834640;W;Conj;;834641;B> ;Pred;;834642;B>RYWT ;Cmpl;;;;;;;;;;;;;;;;;;;;;
506557;377767;Daniel 11:41;link;B> ;qal;834647;W;Conj;;834648;B> ;Pred;;834649;B>RY HYBJ ;Cmpl;;;;;;;;;;;;;;;;;;;;;
506570;377849;Daniel 11:45;link;B> ;qal;834689;W;Conj;;834690;B> ;Pred;;834691;<D&QYW ;Cmpl;;;;;;;;;;;;;;;;;;;;;
506682;378437;Ezra 2:2;link;B>W ;qal;834986;>#R&;Rela;;834987;B>W ;Pred;;834988;<M&ZRBBL J#W< NXMJH #RJH R<LJH MRDKJ BL#N MSPR BGWJ RXWM B<NH ;Adju;;;;;;;;;;;;;;;;;;;;;
506769;379021;Ezra 2:68;link;BW>M ;qal;835160;BBW>M ;PreS;;835161;LBJT JHWH ;Cmpl;;;;;;;;;;;;;;;;;;;;;;;;;
506796;379257;Ezra 3:7;link;HBJ> ;hif;835248;LHBJ> ;Pred;;835249;<YJ >RZJM ;Objc;;835250;MN&HLBNWN ;Cmpl;;835251;>L&JM JPW> ;Cmpl;;835252;KR#JWN KWR# MLK&PRS <LJHM00;Adju;;;;;;;;;;;;;
506798;379279;Ezra 3:8;link;BW>M ;qal;835255;LBW>M ;PreS;;835256;>L&BJT H>LHJM LJRW#LM ;Cmpl;;;;;;;;;;;;;;;;;;;;;;;;;
506799;379310;Ezra 3:8;link;B>JM ;qal;835260;H;Rela;;835261;B>JM ;PreC;;835262;MH#BJ ;Cmpl;;835263;JRW#LM ;Cmpl;;;;;;;;;;;;;;;;;
507095;381041;Ezra 7:8;link;JB> ;qal;836168;W;Conj;;836169;JB> ;Pred;;836170;JRW#LM ;Cmpl;;836171;BXD# HXMJ#J ;Time;;;;;;;;;;;;;;;;;
507098;381077;Ezra 7:9;link;B> ;qal;836178;W;Conj;;836179;B>XD LXD# HXMJ#J ;Time;;836180;B> ;Pred;;836181;>L&JRW#LM ;Cmpl;;836182;KJD&>LHJW HVWBH <LJW00;Adju;;;;;;;;;;;;;
507202;381712;Ezra 8:15;link;B> ;qal;836487;H;Rela;;836488;B> ;PreC;;836489;>L&>HW> ;Cmpl;;;;;;;;;;;;;;;;;;;;;
507210;381798;Ezra 8:17;link;HBJ>&;hif;836516;LHBJ>&;Pred;;836517;LNW ;Cmpl;;836518;M#RTJM LBJT >LHJNW00;Objc;;;;;;;;;;;;;;;;;;;;;
