clause#;word#;passage;link;verb;stem;phr1#;phr1_txt;phr1_function;phr1_corr;phr2#;phr2_txt;phr2_function;phr2_corr;phr3#;phr3_txt;phr3_function;phr3_corr;phr4#;phr4_txt;phr4_function;phr4_corr;phr5#;phr5_txt;phr5_function;phr5_corr;phr6#;phr6_txt;phr6_function;phr6_corr;phr7#;phr7_txt;phr7_function;phr7_corr
447152;110235;Deuteronomy 30:3;link;#B ;qal;667702;W;Conj;;667703;#B ;Pred;;;;;;;;;;;;;;;;;;;;;
447168;110324;Deuteronomy 30:8;link;T#WB ;qal;667750;W;Conj;;667751;>TH ;Subj;;667752;T#WB ;Pred;;;;;;;;;;;;;;;;;
447173;110362;Deuteronomy 30:9;link;J#WB ;qal;667768;KJ ;Conj;;667769;J#WB ;Pred;;667770;JHWH ;Subj;;;;;;;;;;;;;;;;;
447179;110394;Deuteronomy 30:10;link;T#WB ;qal;667785;KJ ;Conj;;667786;T#WB ;Pred;;667787;>L&JHWH >LHJK ;Cmpl;;667788;BKL&LBBK WBKL&NP#K00;Adju;;;;;;;;;;;;;
447551;111971;Deuteronomy 32:41;link;>#JB ;hif;668786;>#JB ;Pred;;668787;NQM ;Objc;;668788;LYRJ ;Cmpl;;;;;;;;;;;;;;;;;
447558;112005;Deuteronomy 32:43;link;J#JB ;hif;668807;W;Conj;;668808;NQM ;Objc;;668809;J#JB ;Pred;;668810;LYRJW ;Cmpl;;;;;;;;;;;;;
447810;113274;Joshua 1:15;link;#BTM ;qal;669538;W;Conj;;669539;#BTM ;Pred;;669540;L>RY JR#TKM ;Cmpl;;;;;;;;;;;;;;;;;
447913;113737;Joshua 2:16;link;#WB ;qal;669837;<D #WB ;Pred;;669838;HRDPJM ;Subj;;;;;;;;;;;;;;;;;;;;;
447943;113871;Joshua 2:22;link;#BW ;qal;669923;<D&;Conj;;669924;#BW ;Pred;;669925;HRDPJM ;Subj;;;;;;;;;;;;;;;;;
447946;113886;Joshua 2:23;link;J#BW ;qal;669933;W;Conj;;669934;J#BW ;Pred;;669935;#NJ H>N#JM ;Subj;;;;;;;;;;;;;;;;;
448092;114791;Joshua 4:18;link;J#BW ;qal;670385;W;Conj;;670386;J#BW ;Pred;;670387;MJ&HJRDN ;Subj;;670388;LMQWMM ;Cmpl;;;;;;;;;;;;;
448124;114993;Joshua 5:2;link;#WB ;qal;670485;W;Conj;;670486;#WB ;Pred;;;;;;;;;;;;;;;;;;;;;
448252;115672;Joshua 6:14;link;J#BW ;qal;670882;W;Conj;;670883;J#BW ;Pred;;670884;HMXNH ;Cmpl;;;;;;;;;;;;;;;;;
448329;116136;Joshua 7:3;link;J#BW ;qal;671118;W;Conj;;671119;J#BW ;Pred;;671120;>L&JHW#< ;Cmpl;;;;;;;;;;;;;;;;;
448444;116764;Joshua 7:26;link;J#B ;qal;671481;W;Conj;;671482;J#B ;Pred;;671483;JHWH ;Subj;;671484;MXRWN >PW ;Cmpl;;;;;;;;;;;;;
448553;117350;Joshua 8:21;link;J#BW ;qal;671806;W;Conj;;671807;J#BW ;Pred;;;;;;;;;;;;;;;;;;;;;
448570;117431;Joshua 8:24;link;J#BW ;qal;671856;W;Conj;;671857;J#BW ;Pred;;671858;KL&J#R>L ;Subj;;671859;H<J ;Cmpl;;;;;;;;;;;;;
448574;117467;Joshua 8:26;link;H#JB ;hif;671871;W;Conj;;671872;JHW#< ;Subj;;671873;L>&;Nega;;671874;H#JB ;Pred;;671875;JDW ;Objc;;;;;;;;;
448781;118714;Joshua 10:15;link;J#B ;qal;672546;W;Conj;;672547;J#B ;Pred;;672548;JHW#< WKL&J#R>L <MW ;Subj;;672549;>L&HMXNH HGLGLH00;Cmpl;;;;;;;;;;;;;
448804;118820;Joshua 10:21;link;J#BW ;qal;672608;W;Conj;;672609;J#BW ;Pred;;672610;KL&H<M ;Subj;;672611;>L&HMXNH ;Cmpl;;672612;>L&JHW#< ;Cmpl;;672613;MQDH ;Loca;;672614;B#LWM ;Adju;
