clause#;word#;passage;link;verb;stem;phr1#;phr1_txt;phr1_function;phr1_corr;phr2#;phr2_txt;phr2_function;phr2_corr;phr3#;phr3_txt;phr3_function;phr3_corr;phr4#;phr4_txt;phr4_function;phr4_corr;phr5#;phr5_txt;phr5_function;phr5_corr;phr6#;phr6_txt;phr6_function;phr6_corr;phr7#;phr7_txt;phr7_function;phr7_corr
451252;133479;Judges 9:29;link;>SJRH ;hif;680125;W;Conj;;680126;>SJRH ;Pred;;680127;>T&>BJMLK ;Objc;;;;;;;;;;;;;;;;;
451436;134402;Judges 10:16;link;JSJRW ;hif;680681;W;Conj;;680682;JSJRW ;Pred;;680683;>T&>LHJ HNKR ;Objc;;680684;MQRBM ;Cmpl;;;;;;;;;;;;;
451841;136396;Judges 14:8;link;JSR ;qal;681975;W;Conj;;681976;JSR ;Pred;;;;;;;;;;;;;;;;;;;;;
452120;137602;Judges 16:17;link;SR ;qal;682818;W;Conj;;682819;SR ;Pred;;682820;MMNJ ;Cmpl;;682821;KXJ ;Subj;;;;;;;;;;;;;
452137;137671;Judges 16:19;link;JSR ;qal;682866;W;Conj;;682867;JSR ;Pred;;682868;KXW ;Subj;;682869;M<LJW00;Cmpl;;;;;;;;;;;;;
452146;137699;Judges 16:20;link;SR ;qal;682888;KJ ;Conj;;682889;JHWH ;Subj;;682890;SR ;Pred;;682891;M<LJW00;Cmpl;;;;;;;;;;;;;
452282;138377;Judges 18:3;link;JSWRW ;qal;683307;W;Conj;;683308;JSWRW ;Pred;;683309;#M ;Cmpl;;;;;;;;;;;;;;;;;
452344;138651;Judges 18:15;link;JSWRW ;qal;683490;W;Conj;;683491;JSWRW ;Pred;;683492;#MH ;Cmpl;;;;;;;;;;;;;;;;;
452497;139357;Judges 19:11;link;NSWRH ;qal;683936;W;Conj;;683937;NSWRH ;Pred;;683938;>L&<JR&HJBWSJ HZ>T ;Cmpl;;;;;;;;;;;;;;;;;
452500;139372;Judges 19:12;link;NSWR ;qal;683946;L> ;Nega;;683947;NSWR ;Pred;;683948;>L&<JR NKRJ ;Cmpl;;;;;;;;;;;;;;;;;
452511;139422;Judges 19:15;link;JSRW ;qal;683977;W;Conj;;683978;JSRW ;Pred;;683979;#M ;Cmpl;;;;;;;;;;;;;;;;;
452636;140040;Judges 20:8;link;NSWR ;qal;684340;W;Conj;;684341;L> ;Nega;;684342;NSWR ;Pred;;;;;;;;;;;;;;;;;
452962;141805;1_Samuel 1:14;link;HSJRJ ;hif;685361;HSJRJ ;Pred;;685362;>T&JJNK ;Objc;;685363;M<LJK00;Cmpl;;;;;;;;;;;;;;;;;
453490;144169;1_Samuel 6:3;link;TSWR ;qal;686922;LMH ;Ques;;686923;L>&;Nega;;686924;TSWR ;Pred;;686925;JDW ;Subj;;686926;MKM00;Cmpl;;;;;;;;;
453535;144411;1_Samuel 6:12;link;SRW ;qal;687065;W;Conj;;687066;L>&;Nega;;687067;SRW ;Pred;;687068;JMJN W#M>WL ;Cmpl;;;;;;;;;;;;;
453592;144736;1_Samuel 7:3;link;HSJRW ;hif;687243;HSJRW ;Pred;;687244;>T&>LHJ HNKR WH<#TRWT ;Objc;;687245;MTWKKM ;Cmpl;;;;;;;;;;;;;;;;;
453596;144762;1_Samuel 7:4;link;JSJRW ;hif;687257;W;Conj;;687258;JSJRW ;Pred;;687259;BNJ J#R>L ;Subj;;687260;>T&HB<LJM W>T&H<#TRT ;Objc;;;;;;;;;;;;;
454215;147678;1_Samuel 12:20;link;TSWRW ;qal;689153;>K ;Modi;;689154;>L&;Nega;;689155;TSWRW ;Pred;;689156;M>XRJ JHWH ;Cmpl;;;;;;;;;;;;;
454217;147691;1_Samuel 12:21;link;TSWRW ;qal;689161;W;Conj;;689162;L> ;Nega;;689163;TSWRW ;Pred;;;;;;;;;;;;;;;;;
454604;149640;1_Samuel 15:6;link;SRW ;qal;690349;SRW ;Pred;;;;;;;;;;;;;;;;;;;;;;;;;
454609;149661;1_Samuel 15:6;link;JSR ;qal;690362;W;Conj;;690363;JSR ;Pred;;690364;QJNJ ;Subj;;690365;MTWK <MLQ00;Cmpl;;;;;;;;;;;;;
454727;150192;1_Samuel 15:32;link;SR ;qal;690707;>KN ;Intj;;690708;SR ;Pred;;690709;MR&HMWT00;Subj;;;;;;;;;;;;;;;;;
454821;150574;1_Samuel 16:14;link;SRH ;qal;690980;W;Conj;;690981;RWX JHWH ;Subj;;690982;SRH ;Pred;;690983;M<M #>WL ;Cmpl;;;;;;;;;;;;;
454866;150769;1_Samuel 16:23;link;SRH ;qal;691108;W;Conj;;691109;SRH ;Pred;;691110;M<LJW ;Cmpl;;691111;RWX HR<H00;Subj;;;;;;;;;;;;;
